USER_KEY,MOVIE_KEY,rating
U1,M1,4
U1,M3,4
U1,M6,4
U1,M47,5
U1,M50,5
U1,M70,3
U1,M101,5
U1,M110,4
U1,M151,5
U1,M157,5
U1,M163,5
U1,M216,5
U1,M223,3
U1,M231,5
U1,M235,4
U1,M260,5
U1,M296,3
U1,M316,3
U1,M333,5
U1,M349,4
U1,M356,4
U1,M362,5
U1,M367,4
U1,M423,3
U1,M441,4
U1,M457,5
U1,M480,4
U1,M500,3
U1,M527,5
U1,M543,4
U1,M552,4
U1,M553,5
U1,M590,4
U1,M592,4
U1,M593,4
U1,M596,5
U1,M608,5
U1,M648,3
U1,M661,5
U1,M673,3
U1,M733,4
U1,M736,3
U1,M780,3
U1,M804,4
U1,M919,5
U1,M923,5
U1,M940,5
U1,M943,4
U1,M954,5
U1,M1009,3
U1,M1023,5
U1,M1024,5
U1,M1025,5
U1,M1029,5
U1,M1030,3
U1,M1031,5
U1,M1032,5
U1,M1042,4
U1,M1049,5
U1,M1060,4
U1,M1073,5
U1,M1080,5
U1,M1089,5
U1,M1090,4
U1,M1092,5
U1,M1097,5
U1,M1127,4
U1,M1136,5
U1,M1196,5
U1,M1197,5
U1,M1198,5
U1,M1206,5
U1,M1208,4
U1,M1210,5
U1,M1213,5
U1,M1214,4
U1,M1219,2
U1,M1220,5
U1,M1222,5
U1,M1224,5
U1,M1226,5
U1,M1240,5
U1,M1256,5
U1,M1258,3
U1,M1265,4
U1,M1270,5
U1,M1275,5
U1,M1278,5
U1,M1282,5
U1,M1291,5
U1,M1298,5
U1,M1348,4
U1,M1377,3
U1,M1396,3
U1,M1408,3
U1,M1445,3
U1,M1473,4
U1,M1500,4
U1,M1517,5
U1,M1552,4
U1,M1573,5
U1,M1580,3
U1,M1587,5
U1,M1617,5
U1,M1620,4
U1,M1625,5
U1,M1644,3
U1,M1676,3
U1,M1732,5
U1,M1777,4
U1,M1793,4
U1,M1804,5
U1,M1805,4
U1,M1920,4
U1,M1927,5
U1,M1954,5
U1,M1967,4
U1,M2000,4
U1,M2005,5
U1,M2012,4
U1,M2018,5
U1,M2028,4
U1,M2033,5
U1,M2046,4
U1,M2048,5
U1,M2054,4
U1,M2058,5
U1,M2078,5
U1,M2090,5
U1,M2093,3
U1,M2094,5
U1,M2096,4
U1,M2099,4
U1,M2105,4
U1,M2115,5
U1,M2116,5
U1,M2137,5
U1,M2139,5
U1,M2141,5
U1,M2143,4
U1,M2161,5
U1,M2174,4
